yyyy,mm,day,HH_UTC,MM,zm,d,z0,u_mean,L,sigma_v,u_star,wind_dir,date
2015,7,10,6,45,70,13.4,-999,4.96043,3858.67,1.51446,0.502654,198.338,2015-07-10
2015,7,10,7,15,70,13.4,-999,4.10321,15461.8,1.35843,0.502916,180.23,2015-07-10
2015,7,10,7,45,70,13.4,-999,3.94264,-396.139,0.940615,0.383675,159.599,2015-07-10
2015,7,10,8,15,70,13.4,-999,4.00367,-1005.61,1.57159,0.777731,169.229,2015-07-10
2015,7,10,8,45,70,13.4,-999,2.80435,-629.453,0.887678,0.60885,185.518,2015-07-10
2015,7,10,9,15,70,13.4,-999,4.15654,1234.05,0.913166,0.606198,171.07,2015-07-10
2015,7,10,9,45,70,13.4,-999,5.14426,-292.27,1.72389,0.495799,172.682,2015-07-10
2015,7,10,10,15,70,13.4,-999,5.34013,-249.921,2.10019,0.580395,177.782,2015-07-10
2015,7,10,10,45,70,13.4,-999,4.53538,-262.718,1.78408,0.766447,173.083,2015-07-10
2015,7,10,11,15,70,13.4,-999,4.36485,-210.312,1.44161,0.719028,172.094,2015-07-10
2015,7,10,11,45,70,13.4,-999,4.41605,881.502,9.90567,0.530759,182.521,2015-07-10
2015,7,10,12,15,70,13.4,-999,4.75391,149.206,4.3301,0.425873,208.609,2015-07-10
2015,7,10,12,45,70,13.4,-999,3.33133,-168.851,0.875438,0.310332,176.188,2015-07-10
2015,7,10,13,15,70,13.4,-999,3.06345,-92.673,0.76284,0.359186,194.122,2015-07-10
2015,7,10,13,45,70,13.4,-999,3.1918,-244.151,1.19448,0.424525,200.393,2015-07-10
2015,7,10,14,15,70,13.4,-999,3.43132,819.754,0.770883,0.386016,184.137,2015-07-10
2015,7,10,14,45,70,13.4,-999,3.07164,-53.3855,1.66127,0.391892,206.102,2015-07-10
2015,7,10,15,15,70,13.4,-999,3.37094,-405.924,0.926662,0.499403,215.646,2015-07-10
2015,7,10,15,45,70,13.4,-999,3.73694,-321.255,1.06273,0.613628,219.383,2015-07-10
2015,7,10,16,15,70,13.4,-999,2.82749,-251.693,0.501254,0.411143,227.437,2015-07-10
2015,7,10,16,45,70,13.4,-999,2.29842,-188.547,0.743622,0.294763,201.03,2015-07-10
2015,7,10,17,15,70,13.4,-999,2.8399,1140.26,0.323111,0.256085,189.249,2015-07-10
2015,7,10,17,45,70,13.4,-999,3.28683,2068.13,0.306866,0.210466,179.881,2015-07-10
2015,7,10,18,15,70,13.4,-999,3.20483,39.7354,0.106206,0.124997,178.986,2015-07-10
2015,7,10,18,45,70,13.4,-999,2.91441,15.992,0.10005,0.0963253,173.766,2015-07-10
2015,7,10,19,15,70,13.4,-999,3.33203,39.7386,0.188661,0.120313,170.399,2015-07-10
2015,7,10,19,45,70,13.4,-999,3.79288,25.9807,0.12188,0.123486,159.313,2015-07-10
2015,7,10,20,15,70,13.4,-999,3.40202,17.8021,0.0761039,0.0970679,171.013,2015-07-10
2015,7,10,20,45,70,13.4,-999,3.48996,20.1854,0.156643,0.0793694,182.981,2015-07-10
2015,7,10,21,15,70,13.4,-999,3.57423,4.75359,0.0433048,0.0494284,163.044,2015-07-10
2015,7,10,21,45,70,13.4,-999,2.91058,5.21254,0.0888894,0.0368422,170.57,2015-07-10
2015,7,10,22,15,70,13.4,-999,2.42025,-16.9539,0.0370251,0.0331831,170.534,2015-07-10
2015,7,10,22,45,70,13.4,-999,1.61945,153.012,0.253658,0.0196324,190.273,2015-07-10
2015,7,10,23,15,70,13.4,-999,1.67122,29.9928,0.355674,0.0612125,235.4,2015-07-10
2015,7,10,23,45,70,13.4,-999,1.88062,-122.294,0.20922,0.0965,298.682,2015-07-10
2015,7,11,0,15,70,13.4,-999,2.47823,-69.1253,0.284987,0.0566591,308.94,2015-07-11
2015,7,11,0,45,70,13.4,-999,3.44482,-19.9737,0.129662,0.105821,300.076,2015-07-11
